"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","rawdat","X170410_Blk_FilterBlk_A","X170410_Blk_FilterBlk_B","X170410_Poo_April11AqExtractsFull_1","X170410_Poo_April11AqExtractsFull_2","X170410_Poo_April11AqExtractsFull_3","X170410_Poo_April11AqExtractsHalf_1","X170410_Poo_April11AqExtractsHalf_2","X170410_Poo_April11AqExtractsHalf_3","X170410_Smp_KM1513.125m_A","X170410_Smp_KM1513.125m_B","X170410_Smp_KM1513.125m_C","X170410_Smp_KM1513.15m_A","X170410_Smp_KM1513.15m_B","X170410_Smp_KM1513.15m_C","X170410_Smp_KM1513.45m_A","X170410_Smp_KM1513.45m_B","X170410_Smp_KM1513.45m_C","X170410_Smp_KM1513.75m_A","X170410_Smp_KM1513.75m_B","X170410_Smp_KM1513.75m_C","MassFeature","groupname","RT","Fraction","AveBlank","AveSmp","AvePoo"
"11",273,93.0577082600481,93.0576596474767,93.057782730693,379.533460083008,375.78369140625,385.089508056641,18,18,17466.223575316,27450.3265898503,5339768.32829155,5274609.03879883,4818833.7785,2239331.67384396,1199333.59475722,2168353.51916901,3637717.74380003,3710184.1119771,5685304.70298153,6772147.20748802,6998066.35843334,3071992.11284273,2657599.3586985,3313702.50674525,3139377.67435952,4051372.61104495,3500308.98458957,6560098.15999477,"I93.0577R6.33","M93T380",6.32555766805013,"HILICPos",22458.2750825831,4424822.62774628,3506704.98889343
"12",283,94.0656134913053,94.0655600291066,94.0656861221495,387.080139160156,377.640167236328,392.00634765625,19,18,6901083.14612746,7083825.35196116,254257413.264622,351542002.376471,334152284.199649,133330627.459579,118768197.690393,98746120.9101956,243222421.175405,193067890.560846,402684938.752211,415822849.586193,440824559.477254,320938767.398763,177059483.292024,175318915.495098,153659841.607043,267138535.05536,186214717.555206,374721966.585049,"I94.0656R6.45","M94T387",6.45133565266927,"HILICPos",6992454.24904431,279222907.211704,215132774.316818
"13",285,94.0656097006552,94.0655490199591,94.0656307222296,514.315277099609,511.871215820312,516.6474609375,4,4,3181898.39274848,3287727.63468826,9893610.56300125,10467561.5907292,9858029.12459812,7641221.50993518,6063355.7817162,7912392.94050183,11338854.1965815,8603545.6946136,11913727.9587036,9671752.76934412,12147610.071325,8197256.10893326,7035042.74653962,8127293.09663559,8077559.22122153,9083308.6567012,8107569.11746335,16540554.3735183,"I94.0656R8.57","M94T514",8.57192128499349,"HILICPos",3234813.01371837,9903672.83429839,8639361.91841363
"14",296,95.0132479396945,95.0132360486959,95.0132887689524,562.705993652344,559.69580078125,564.879089355469,4,4,1993723.60008067,2281085.61180433,2119985.29137968,11946370.1236469,19612388.0932045,92268.2792812498,18719158.3115341,14118345.3357142,2299114.17818205,22729412.1941388,24146269.4645654,1397104.64622344,1729053.01412081,1311900.45114819,2006839.15100594,1699606.42089925,2143790.88460584,2071775.33389599,10601906.817297,14880612.970789,"I95.0132R9.38","M95T563",9.37843322753906,"HILICPos",2137404.6059425,7251448.79390598,11101419.2391268
"15",307,95.0859871772709,95.0859742377603,95.0860171994088,127.524108886719,124.528297424316,129.145401000977,4,4,4676289.58610973,4705628.96300242,8830788.46369906,14286730.5638498,11028962.5873088,12702186.335007,10053181.705332,13487516.3796509,13527803.5334884,2021564.03032732,2614190.82818675,9750313.05818813,12851190.8045656,9622847.45238177,8246339.49221996,9317675.94943246,8960696.92009991,2308637.93463011,2944655.89198393,12214619.6947637,"I95.086R2.13","M95T128",2.12540181477865,"HILICPos",4690959.27455608,7865044.63252234,11731561.0058079
"16",310,96.0448705357046,96.0448336289863,96.0449582067073,174.607086181641,173.34455871582,177.207244873047,19,19,4318444.23102942,5135789.07545004,13723229.0616083,13809298.9010977,13650841.9921485,8664020.46227557,8120266.54066511,11320524.3492355,11213230.5082843,11416601.9048576,10342228.9033564,25545910.4298077,24895848.9195097,18610505.0703299,11233734.7445289,9762593.87862403,10596674.8018424,8116579.90259857,9419650.95847516,12966947.8053637,"I96.0449R2.91","M96T175",2.91011810302734,"HILICPos",4727116.65323973,13676708.9856315,11548030.2178384
"17",311,96.0448565063671,96.044818684145,96.0449126931077,379.568023681641,376.612213134766,383.843688964844,14,14,1900982.08622398,2054440.57648446,22315185.7493544,13680093.3971791,13653277.7405688,7769380.51206503,16739151.6069614,8604406.3449878,11516480.1378084,10879157.7716883,15937282.7968846,18268613.9710503,17418802.3591466,14313108.5340158,8536750.162122,9836907.77119726,8758933.0293421,11762918.3786293,10575354.7394943,19836088.2686686,"I96.0449R6.33","M96T380",6.32613372802734,"HILICPos",1977711.33135422,13136699.8266706,13793582.5585194
"18",348,97.040121047889,97.0400845192679,97.0401941995734,196.456237792969,194.615417480469,199.116653442383,15,15,1564494.87531867,2074731.03597802,5686084.48752563,8682046.65807439,5261366.6479339,3796113.35665248,3192024.73197441,3547031.39901257,4341420.86761469,4104169.20295125,4548966.90547673,4634991.61943264,5866700.2826414,8358006.98823559,5745206.63728125,6593302.67892562,6744728.40353203,8418298.07185635,5947712.36816406,6631985.10649316,"I97.0401R3.27","M97T196",3.27427062988281,"HILICPos",1819612.95564834,5994624.09438373,5027444.54686223
"19",353,97.0652938882617,97.0652487022845,97.0653170703162,130.19758605957,128.105041503906,134.093597412109,5,5,867740.411277174,895236.786522608,27212828.2554652,43578799.7448449,28880066.2974883,50339934.2949755,24953264.6361591,47801836.5958999,63178919.2634673,26004759.5952159,925082.640736885,2119927.21498499,39406073.4215116,26567468.8271444,27301973.2856865,29723240.8018605,27030474.1622104,1785465.41678927,29655300.6645631,41273707.6615784,"I97.0653R2.17","M97T130",2.16995976765951,"HILICPos",881488.598899891,26247699.4129791,37127788.3041388
"20",355,97.084433711364,97.0843622669556,97.0844729351332,232.892211914062,223.036315917969,241.787,19,18,1053490.88675022,1129678.57958541,999069.354117927,562981.454934005,758190.342004198,318924.712106213,221169.820186265,40264388.5957114,1052908.72477844,818063.711353557,854506.303095917,873645.647327624,767726.205044238,679494.456973886,970228.746501812,514740.631678711,833320.927992187,881888.25107191,667007.85851347,35181392.9235716,"I97.0844R3.88","M97T233",3.88153686523437,"HILICPos",1091584.73316782,3674577.03232528,7187454.04651
"21",405,99.04450963338,99.0444624925802,99.0445658708838,225.541015625,220.535430908203,228.923309326172,20,20,7482470.09982581,6456949.75250781,23124443.2162936,23549397.7592578,19650854.9603867,8703427.06977764,7958261.45715017,8944461.65639531,17326787.5357726,18192683.1461593,23244721.6230988,24564979.815309,35779609.4685286,35814589.3902822,16887542.2053098,24436472.459875,20930974.0557917,9448013.07914063,15486277.1336421,28054917.265232,"I99.0445R3.76","M99T226",3.75901692708333,"HILICPos",6969709.92616681,22513963.9315118,15321807.6865435
"22",504,102.091724278701,102.091695266201,102.091779003652,139.184715270996,137.352874755859,154.331115722656,6,5,1247495.04100252,1228425.98650523,2143188.02322751,1969718.51829346,2366231.85940536,3109009.87799184,2757452.90355074,2814235.52823848,3230847.00008152,2263407.80601671,2141152.79048067,2627621.2591032,2850007.70157031,2693241.00569313,2512886.98944794,4282320.3754875,2390601.11317399,2256966.97105229,2231494.85379907,1942051.49841751,"I102.0917R2.32","M102T139",2.3197452545166,"HILICPos",1237960.51375387,2618549.94702699,2526639.45178457
