,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Height,IR,S.N,Run.Cmpd,runDate,type,SampID,replicate,13C Acetyl CoA.Norm.Area,13C-Isethionic Acid.Norm.Area,13C-Sulfoacetic Acid.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d3-Cysteic Acid.Norm.Area,d4 Succinic Acid.Norm.Area,d4 Taurine.Norm.Area,D-Methionine.Norm.Area,Heavy Alanine.Norm.Area,Heavy Histidine.Norm.Area,Heavy Isoleucine.Norm.Area,PooModel.IS,SmpModel.IS,PooPlusModel.IS,PooModel,SmpModel,PooPlusModel
14,160802_Poo_0801PooledDiatoms_2,Ketoglutaric Acid,12.34,,3956858,334690,13.81256545,165.4306017,160802_Poo_0801PooledDiatoms_2 Ketoglutaric Acid,160802,Poo,0801PooledDiatoms,2,2787845.223,3110190.379,2822658.67,3276584.251,4115201.323,4507178.075,4314727.991,4199290.989,3751366.204,2743166.504,5889296.219,D-Methionine.Norm.Area,Heavy Histidine.Norm.Area,D-Methionine.Norm.Area,4199290.989,2743166.504,4199290.989
15,160802_Poo_0801PooledDiatoms_3,Ketoglutaric Acid,12.33,,3646732,255602,7.139325953,35.65322374,160802_Poo_0801PooledDiatoms_3 Ketoglutaric Acid,160802,Poo,0801PooledDiatoms,3,3011167.875,2696570.05,2185374.96,2900185.739,2576699.556,2826428.509,3804888.47,3998680.34,3164771.946,2266612.004,5388369.569,D-Methionine.Norm.Area,Heavy Histidine.Norm.Area,D-Methionine.Norm.Area,3998680.34,2266612.004,3998680.34
16,160802_Smp_Np_12,Ketoglutaric Acid,12.565,Bad IR,949797,83773,15.54088946,Inf,160802_Smp_Np_12 Ketoglutaric Acid,160802,Smp,Np,12,1144125.413,1185460.497,1659966.839,1295444.788,1445734.629,953006.7213,1038246.584,531258.9261,968230.4439,1568820.329,537323.5447,D-Methionine.Norm.Area,Heavy Histidine.Norm.Area,D-Methionine.Norm.Area,531258.9261,1568820.329,531258.9261
17,160802_Smp_Np_34,Ketoglutaric Acid,12.475,,651035,69134,8.748471451,71.23788974,160802_Smp_Np_34 Ketoglutaric Acid,160802,Smp,Np,34,718326.6089,793453.8028,1054381.477,854840.804,1001265.75,683114.4785,708985.9575,368140.835,651200.2339,1013736.034,403191.2421,D-Methionine.Norm.Area,Heavy Histidine.Norm.Area,D-Methionine.Norm.Area,368140.835,1013736.034,368140.835
18,160802_Smp_Np_56,Ketoglutaric Acid,12.43,,831867,69071,11.94353195,15696.60377,160802_Smp_Np_56 Ketoglutaric Acid,160802,Smp,Np,56,866804.2845,1049771.971,1135002.708,1041464.242,1603684.979,881050.8047,932009.107,475761.587,893831.7885,1278471.676,581168.6628,D-Methionine.Norm.Area,Heavy Histidine.Norm.Area,D-Methionine.Norm.Area,475761.587,1278471.676,475761.587
19,160802_Smp_Pt_12,Ketoglutaric Acid,12.5,,2361409,173644,10.62333941,Inf,160802_Smp_Pt_12 Ketoglutaric Acid,160802,Smp,Pt,12,3520048.877,3055325.766,3186782.693,2016143.164,2708608.792,2461990.174,1921888.063,3911731.906,3125902.705,2834098.561,3538881.998,D-Methionine.Norm.Area,Heavy Histidine.Norm.Area,D-Methionine.Norm.Area,3911731.906,2834098.561,3911731.906
20,160802_Smp_Pt_34,Ketoglutaric Acid,12.455,,4215411,329272,12.44589148,64.18156747,160802_Smp_Pt_34 Ketoglutaric Acid,160802,Smp,Pt,34,4402775.068,5286860.982,4261352.164,3867207.746,4527537.003,4713188.404,4858505.55,6130672.898,5530130.186,3743211.831,4840109.382,D-Methionine.Norm.Area,Heavy Histidine.Norm.Area,D-Methionine.Norm.Area,6130672.898,3743211.831,6130672.898
21,160802_Smp_Pt_56,Ketoglutaric Acid,12.385,,5933071,461475,8.12874167,206.7736274,160802_Smp_Pt_56 Ketoglutaric Acid,160802,Smp,Pt,56,6193630.073,6350148.426,6658269.659,5104084.07,4421222.411,5358442.505,5742226.4,9054323.639,6557856.091,4272075.686,7634347.002,D-Methionine.Norm.Area,Heavy Histidine.Norm.Area,D-Methionine.Norm.Area,9054323.639,4272075.686,9054323.639
22,160802_Smp_Tp_12,Ketoglutaric Acid,12.515,,3054234,213642,7.6950291,397.75682,160802_Smp_Tp_12 Ketoglutaric Acid,160802,Smp,Tp,12,4529676.449,3559527.629,3394033.274,4079988.018,3146866.737,2970066.617,2516094.778,4694897.168,2998199.079,4740257.74,2604794.496,D-Methionine.Norm.Area,Heavy Histidine.Norm.Area,D-Methionine.Norm.Area,4694897.168,4740257.74,4694897.168
23,160802_Smp_Tp_34,Ketoglutaric Acid,12.45,,2725178,202731,14.74336321,360.4273279,160802_Smp_Tp_34 Ketoglutaric Acid,160802,Smp,Tp,34,2764482.272,2372161.897,2850781.329,2993374.994,2605553.531,2977182.448,2379635.173,4410364.555,2233507.598,3617495.717,2947893.508,D-Methionine.Norm.Area,Heavy Histidine.Norm.Area,D-Methionine.Norm.Area,4410364.555,3617495.717,4410364.555
