"","Compound.Name","type","SampID","Normer","m","sd","rsd","Poo.Picked.IS","PooPlus.IS"
"32","13C-Isethionic Acid","Smp","32ppt-1C","inj.vol.Norm.Area",6955004.66666667,731836.503722883,0.105224444669371,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"33","13C-Isethionic Acid","Smp","32ppt4C","13C-Isethionic Acid.Norm.Area",5940104.22222222,0,0,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"34","13C-Isethionic Acid","Smp","32ppt4C","13C-Sulfoacetic Acid.Norm.Area",4829011.72520844,1018228.91712442,0.210856584134814,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"35","13C-Isethionic Acid","Smp","32ppt4C","13C-Sulfolactic Acid.Norm.Area",4713156.55468076,283605.483946857,0.0601731516143255,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"36","13C-Isethionic Acid","Smp","32ppt4C","13C Acetyl CoA.Norm.Area",6507099.35693564,1218345.29829699,0.187233240414319,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"37","13C-Isethionic Acid","Smp","32ppt4C","15N AMP.Norm.Area",6236343.8518825,844557.514467616,0.135425103959378,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"38","13C-Isethionic Acid","Smp","32ppt4C","15N GMP.Norm.Area",5543947.21400462,754781.403608631,0.136145128096092,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"39","13C-Isethionic Acid","Smp","32ppt4C","D-Methionine.Norm.Area",4877081.97498272,223201.232986724,0.0457653232263981,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"40","13C-Isethionic Acid","Smp","32ppt4C","d3-Cysteic Acid.Norm.Area",6219479.39352788,760204.769715155,0.122229646826427,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"41","13C-Isethionic Acid","Smp","32ppt4C","d4 Succinic Acid.Norm.Area",5611416.67437242,685101.145931294,0.122090585263465,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
