Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein,Precursor Mz
Internal Standard,170410_Poo_April11AqExtractsFull_1,Heavy Methionine,8.34,31989808,3373719,868745,-0.1,Internal Standard,153.077156
Internal Standard,170410_Poo_April11AqExtractsFull_2,Heavy Methionine,8.22,26105754,3454183,661876,-0.5,Internal Standard,153.077156
Internal Standard,170410_Poo_April11AqExtractsFull_3,Heavy Methionine,8.44,26213846,1335002,592778,-0.6,Internal Standard,153.077156
Internal Standard,170410_Poo_April11AqExtractsHalf_1,Heavy Methionine,8.37,17082898,4626983,563497,0,Internal Standard,153.077156
Internal Standard,170410_Poo_April11AqExtractsHalf_2,Heavy Methionine,8.46,11699957,2431968,339919,-0.6,Internal Standard,153.077156
Internal Standard,170410_Poo_April11AqExtractsHalf_3,Heavy Methionine,8.39,11755814,3790920,370377,-0.6,Internal Standard,153.077156
Internal Standard,170410_Smp_KM1513-125m_A,Heavy Methionine,8.23,33359442,2008306,818969,-0.1,Internal Standard,153.077156
Internal Standard,170410_Smp_KM1513-125m_B,Heavy Methionine,8.21,28207764,1248,630268,-0.7,Internal Standard,153.077156
Internal Standard,170410_Smp_KM1513-15m_A,Heavy Methionine,8.39,34526312,2910863,925888,-0.3,Internal Standard,153.077156
Internal Standard,170410_Smp_KM1513-15m_B,Heavy Methionine,8.33,32630212,2974385,858256,-0.6,Internal Standard,153.077156
Internal Standard,170410_Smp_KM1513-15m_C,Heavy Methionine,8.45,27925352,1698042,704601,-0.6,Internal Standard,153.077156
Internal Standard,170410_Smp_KM1513-45m_A,Heavy Methionine,8.34,31948422,5342312,760277,0.1,Internal Standard,153.077156
Internal Standard,170410_Smp_KM1513-45m_B,Heavy Methionine,8.45,41903880,1051279,957668,-0.9,Internal Standard,153.077156
Internal Standard,170410_Smp_KM1513-45m_C,Heavy Methionine,8.2,38215764,3882686,906364,-1,Internal Standard,153.077156
Internal Standard,170410_Smp_KM1513-75m_A,Heavy Methionine,8.37,35180192,821097,1181432,0.1,Internal Standard,153.077156
Internal Standard,170410_Smp_KM1513-75m_B,Heavy Methionine,8.47,29568662,1299417,755252,-0.7,Internal Standard,153.077156
Internal Standard,170410_Smp_KM1513-75m_C,Heavy Methionine,8.5,29064210,596404,654871,-1.3,Internal Standard,153.077156
Internal Standard,170410_Smp_KM1513-125m_C,Heavy Methionine,8.37,23969958,0,523601,-0.4,Internal Standard,153.077156
